,structure_id,model,loop_len,rmsd
710,8QN9,alpha,4.0,0.649
711,8QN9,rosetta,4.0,1.252
712,8QN9,alpha,3.0,0.356
713,8QN9,rosetta,3.0,0.993
714,8QN9,alpha,1.0,0.508
715,8QN9,rosetta,1.0,0.579
716,8QN9,alpha,4.0,0.365
717,8QN9,rosetta,4.0,0.616
718,8QN9,alpha,4.0,0.29
719,8QN9,rosetta,4.0,0.991
720,8QN9,alpha,14.0,0.39
721,8QN9,rosetta,14.0,0.713
722,8QN9,alpha,1.0,0.314
723,8QN9,rosetta,1.0,0.736
724,8QN9,alpha,1.0,0.204
725,8QN9,rosetta,1.0,0.7
726,8QN9,alpha,3.0,0.414
727,8QN9,rosetta,3.0,0.623
728,8QN9,alpha,1.0,0.807
729,8QN9,rosetta,1.0,0.797
730,8QN9,alpha,5.0,0.428
731,8QN9,rosetta,5.0,0.869
732,8QN9,alpha,5.0,0.289
733,8QN9,rosetta,5.0,0.877
734,8QN9,alpha,2.0,2.177
735,8QN9,rosetta,2.0,2.194
736,8QN9,alpha,4.0,0.351
737,8QN9,rosetta,4.0,0.744
738,8QN9,alpha,4.0,0.422
739,8QN9,rosetta,4.0,0.809
740,8QN9,alpha,5.0,0.398
741,8QN9,rosetta,5.0,0.591
742,8QN9,alpha,1.0,0.339
743,8QN9,rosetta,1.0,0.734
744,8QN9,alpha,3.0,0.375
745,8QN9,rosetta,3.0,0.652
746,8QN9,alpha,1.0,0.424
747,8QN9,rosetta,1.0,0.782
748,8QN9,alpha,2.0,0.596
749,8QN9,rosetta,2.0,0.787
750,8QN9,alpha,13.0,0.488
751,8QN9,rosetta,13.0,0.838
752,8QN9,alpha,1.0,0.962
753,8QN9,rosetta,1.0,1.52
754,8KFH,alpha,10.0,2.365
755,8KFH,rosetta,10.0,1.69
756,8KFH,alpha,1.0,1.128
757,8KFH,rosetta,1.0,1.065
758,8KFH,alpha,1.0,1.045
759,8KFH,rosetta,1.0,0.925
760,8KFH,alpha,1.0,0.92
761,8KFH,rosetta,1.0,0.55
762,8KFH,alpha,5.0,0.879
763,8KFH,rosetta,5.0,0.796
764,8KFH,alpha,1.0,0.838
765,8KFH,rosetta,1.0,0.927
766,8KFH,alpha,5.0,1.052
767,8KFH,rosetta,5.0,0.949
768,8KFH,alpha,6.0,0.692
769,8KFH,rosetta,6.0,1.054
770,8KFH,alpha,6.0,0.909
771,8KFH,rosetta,6.0,1.111
772,8KFH,alpha,5.0,0.912
773,8KFH,rosetta,5.0,1.237
774,8VHH,alpha,2.0,0.473
775,8VHH,rosetta,2.0,1.268
776,8VHH,alpha,2.0,0.647
777,8VHH,rosetta,2.0,0.854
778,8VHH,alpha,5.0,0.368
779,8VHH,rosetta,5.0,0.639
780,8VHH,alpha,4.0,0.744
781,8VHH,rosetta,4.0,1.143
782,8VHH,alpha,1.0,0.741
783,8VHH,rosetta,1.0,0.761
784,8VHH,alpha,1.0,0.576
785,8VHH,rosetta,1.0,0.839
786,8VHH,alpha,1.0,0.519
787,8VHH,rosetta,1.0,0.696
788,8VHH,alpha,2.0,0.833
789,8VHH,rosetta,2.0,0.999
790,8VHH,alpha,1.0,0.487
791,8VHH,rosetta,1.0,0.76
792,8VHH,alpha,1.0,0.322
793,8VHH,rosetta,1.0,0.681
794,8VHH,alpha,4.0,0.744
795,8VHH,rosetta,4.0,0.75
796,8VHH,alpha,3.0,0.909
797,8VHH,rosetta,3.0,0.964
798,8VHH,alpha,3.0,0.728
799,8VHH,rosetta,3.0,0.692
800,8VHH,alpha,1.0,1.062
801,8VHH,rosetta,1.0,1.263
802,8VHH,alpha,3.0,0.563
803,8VHH,rosetta,3.0,0.514
804,8VHH,alpha,6.0,1.152
805,8VHH,rosetta,6.0,1.243
806,8VHH,alpha,4.0,1.143
807,8VHH,rosetta,4.0,1.077
808,8VHH,alpha,9.0,0.377
809,8VHH,rosetta,9.0,0.839
810,8VHH,alpha,1.0,0.542
811,8VHH,rosetta,1.0,0.588
812,8VHH,alpha,5.0,0.55
813,8VHH,rosetta,5.0,0.718
814,8VHH,alpha,4.0,0.539
815,8VHH,rosetta,4.0,0.621
816,8VHH,alpha,5.0,0.777
817,8VHH,rosetta,5.0,0.98
818,8VHH,alpha,3.0,0.352
819,8VHH,rosetta,3.0,0.605
820,8VHH,alpha,4.0,0.594
821,8VHH,rosetta,4.0,0.915
822,8VHH,alpha,3.0,0.404
823,8VHH,rosetta,3.0,0.629
824,8VHH,alpha,1.0,0.385
825,8VHH,rosetta,1.0,0.524
826,8VHH,alpha,2.0,0.357
827,8VHH,rosetta,2.0,0.616
828,8VHH,alpha,1.0,0.531
829,8VHH,rosetta,1.0,0.74
830,8VHH,alpha,4.0,0.656
831,8VHH,rosetta,4.0,0.733
832,8VHH,alpha,4.0,0.419
833,8VHH,rosetta,4.0,0.743
834,8VHH,alpha,3.0,0.405
835,8VHH,rosetta,3.0,0.547
836,8VHH,alpha,2.0,0.239
837,8VHH,rosetta,2.0,0.668
838,8VHH,alpha,3.0,0.464
839,8VHH,rosetta,3.0,0.613
840,8VHH,alpha,1.0,0.309
841,8VHH,rosetta,1.0,0.454
842,8VHH,alpha,3.0,0.295
843,8VHH,rosetta,3.0,0.687
844,8VHH,alpha,3.0,0.439
845,8VHH,rosetta,3.0,0.421
846,8VHH,alpha,7.0,0.742
847,8VHH,rosetta,7.0,1.185
848,8VHH,alpha,1.0,0.491
849,8VHH,rosetta,1.0,0.719
850,8VHH,alpha,1.0,0.457
851,8VHH,rosetta,1.0,0.926
852,8VHH,alpha,1.0,1.057
853,8VHH,rosetta,1.0,0.713
854,8VHH,alpha,2.0,2.448
855,8VHH,rosetta,2.0,2.562
856,9CYS,alpha,4.0,1.32
857,9CYS,rosetta,4.0,1.617
858,9CYS,alpha,4.0,1.829
859,9CYS,rosetta,4.0,1.53
860,9CYS,alpha,6.0,1.086
861,9CYS,rosetta,6.0,1.073
862,9CYS,alpha,2.0,1.031
863,9CYS,rosetta,2.0,1.609
864,9CYS,alpha,2.0,0.795
865,9CYS,rosetta,2.0,0.823
866,9CYS,alpha,4.0,0.931
867,9CYS,rosetta,4.0,0.583
868,9CYS,alpha,4.0,0.765
869,9CYS,rosetta,4.0,0.782
870,9CYS,alpha,8.0,1.942
871,9CYS,rosetta,8.0,1.451
872,9CYS,alpha,1.0,0.678
873,9CYS,rosetta,1.0,0.928
874,9CYS,alpha,6.0,0.886
875,9CYS,rosetta,6.0,0.824
876,9CYS,alpha,7.0,2.353
877,9CYS,rosetta,7.0,2.407
878,9CYS,alpha,5.0,3.761
879,9CYS,rosetta,5.0,3.472
880,9CYS,alpha,6.0,2.56
881,9CYS,rosetta,6.0,3.277
882,9CYS,alpha,7.0,0.753
883,9CYS,rosetta,7.0,0.931
884,9CYS,alpha,1.0,1.192
885,9CYS,rosetta,1.0,1.175
886,9CYS,alpha,3.0,0.69
887,9CYS,rosetta,3.0,0.749
888,9CYS,alpha,1.0,1.283
889,9CYS,rosetta,1.0,1.28
890,9CYS,alpha,2.0,1.393
891,9CYS,rosetta,2.0,1.129
892,9CYS,alpha,1.0,2.101
893,9CYS,rosetta,1.0,1.911
894,9CYS,alpha,6.0,1.764
895,9CYS,rosetta,6.0,1.502
896,9CYS,alpha,3.0,1.642
897,9CYS,rosetta,3.0,1.642
898,9CYS,alpha,3.0,1.313
899,9CYS,rosetta,3.0,1.703
900,9CYS,alpha,2.0,0.934
901,9CYS,rosetta,2.0,0.904
902,9CYS,alpha,6.0,1.826
903,9CYS,rosetta,6.0,1.689
904,9CYS,alpha,1.0,1.41
905,9CYS,rosetta,1.0,1.501
906,9CYS,alpha,2.0,1.699
907,9CYS,rosetta,2.0,1.603
908,9ENK,alpha,7.0,1.98
909,9ENK,rosetta,7.0,1.612
910,9ENK,alpha,2.0,0.446
911,9ENK,rosetta,2.0,0.63
912,9ENK,alpha,4.0,0.676
913,9ENK,rosetta,4.0,0.792
914,9ENK,alpha,6.0,0.727
915,9ENK,rosetta,6.0,1.1
916,9ENK,alpha,4.0,0.546
917,9ENK,rosetta,4.0,0.868
918,9ENK,alpha,7.0,0.711
919,9ENK,rosetta,7.0,1.042
920,9ENK,alpha,5.0,0.461
921,9ENK,rosetta,5.0,0.767
922,9ENK,alpha,4.0,0.927
923,9ENK,rosetta,4.0,1.431
924,9ENK,alpha,4.0,0.612
925,9ENK,rosetta,4.0,0.975
926,9ENK,alpha,3.0,0.503
927,9ENK,rosetta,3.0,0.916
928,9ENK,alpha,10.0,0.548
929,9ENK,rosetta,10.0,0.914
930,9ENK,alpha,2.0,0.73
931,9ENK,rosetta,2.0,1.23
932,9ENK,alpha,8.0,0.953
933,9ENK,rosetta,8.0,1.152
934,9ENK,alpha,3.0,0.951
935,9ENK,rosetta,3.0,1.214
936,9ENK,alpha,1.0,0.833
937,9ENK,rosetta,1.0,0.554
938,9ENK,alpha,3.0,1.421
939,9ENK,rosetta,3.0,1.695
940,9ENK,alpha,4.0,0.921
941,9ENK,rosetta,4.0,0.867
942,9ENK,alpha,5.0,0.746
943,9ENK,rosetta,5.0,1.621
944,9ENK,alpha,5.0,0.758
945,9ENK,rosetta,5.0,1.854
946,9ENK,alpha,4.0,0.51
947,9ENK,rosetta,4.0,1.469
948,9ENK,alpha,1.0,0.608
949,9ENK,rosetta,1.0,1.099
950,9ENK,alpha,5.0,1.641
951,9ENK,rosetta,5.0,1.54
952,9ENK,alpha,5.0,0.473
953,9ENK,rosetta,5.0,0.917
954,9ENK,alpha,7.0,0.938
955,9ENK,rosetta,7.0,1.308
956,9ENK,alpha,4.0,0.695
957,9ENK,rosetta,4.0,0.961
958,9ENK,alpha,7.0,0.883
959,9ENK,rosetta,7.0,1.748
960,9ENK,alpha,2.0,0.698
961,9ENK,rosetta,2.0,0.815
962,9ENK,alpha,1.0,0.636
963,9ENK,rosetta,1.0,0.619
964,9ENK,alpha,3.0,0.764
965,9ENK,rosetta,3.0,0.998
966,9ENK,alpha,3.0,0.746
967,9ENK,rosetta,3.0,0.941
968,9ENK,alpha,7.0,0.597
969,9ENK,rosetta,7.0,0.716
970,9ENK,alpha,2.0,0.458
971,9ENK,rosetta,2.0,0.868
972,9ENK,alpha,1.0,0.366
973,9ENK,rosetta,1.0,1.4
974,9ENK,alpha,3.0,0.544
975,9ENK,rosetta,3.0,0.828
976,9ENK,alpha,1.0,0.531
977,9ENK,rosetta,1.0,0.769
978,9ENK,alpha,5.0,0.511
979,9ENK,rosetta,5.0,0.641
980,9ENK,alpha,6.0,0.503
981,9ENK,rosetta,6.0,0.777
982,9ENK,alpha,5.0,0.591
983,9ENK,rosetta,5.0,1.01
984,9ENK,alpha,13.0,0.744
985,9ENK,rosetta,13.0,1.359
986,9ENK,alpha,7.0,0.884
987,9ENK,rosetta,7.0,1.801
988,9ENK,alpha,3.0,0.533
989,9ENK,rosetta,3.0,0.769
990,9ENK,alpha,2.0,0.587
991,9ENK,rosetta,2.0,0.787
992,9ENK,alpha,10.0,0.722
993,9ENK,rosetta,10.0,0.985
994,9ENK,alpha,5.0,0.589
995,9ENK,rosetta,5.0,0.958
996,9ENK,alpha,2.0,0.838
997,9ENK,rosetta,2.0,1.222
998,9ENK,alpha,2.0,0.817
999,9ENK,rosetta,2.0,0.687
1000,9ENK,alpha,4.0,0.67
1001,9ENK,rosetta,4.0,0.753
1002,9ENK,alpha,11.0,0.664
1003,9ENK,rosetta,11.0,0.825
1004,9ENK,alpha,1.0,0.644
1005,9ENK,rosetta,1.0,0.902
1006,9ENK,alpha,10.0,3.062
1007,9ENK,rosetta,10.0,3.168
1008,8QNO,alpha,1.0,1.069
1009,8QNO,rosetta,1.0,3.14
1010,8QNO,alpha,4.0,0.726
1011,8QNO,rosetta,4.0,1.178
1012,8QNO,alpha,2.0,0.731
1013,8QNO,rosetta,2.0,0.803
1014,8QNO,alpha,3.0,0.475
1015,8QNO,rosetta,3.0,0.812
1016,8QNO,alpha,6.0,0.866
1017,8QNO,rosetta,6.0,0.608
1018,8QNO,alpha,3.0,0.61
1019,8QNO,rosetta,3.0,0.79
1020,8QNO,alpha,3.0,0.818
1021,8QNO,rosetta,3.0,0.697
1022,8QNO,alpha,7.0,0.704
1023,8QNO,rosetta,7.0,0.689
1024,8QNO,alpha,3.0,0.68
1025,8QNO,rosetta,3.0,0.463
1026,8QNO,alpha,6.0,0.746
1027,8QNO,rosetta,6.0,0.576
1028,8QNO,alpha,5.0,0.751
1029,8QNO,rosetta,5.0,0.837
1030,8QNO,alpha,3.0,0.398
1031,8QNO,rosetta,3.0,0.972
1032,8QNO,alpha,1.0,0.442
1033,8QNO,rosetta,1.0,0.735
1034,8QNO,alpha,2.0,0.708
1035,8QNO,rosetta,2.0,0.911
1036,8QNO,alpha,2.0,0.475
1037,8QNO,rosetta,2.0,0.651
1038,8QNO,alpha,7.0,0.603
1039,8QNO,rosetta,7.0,0.942
1040,8QNO,alpha,1.0,0.565
1041,8QNO,rosetta,1.0,0.725
1042,8QNO,alpha,7.0,0.811
1043,8QNO,rosetta,7.0,0.962
1044,8QNO,alpha,3.0,0.675
1045,8QNO,rosetta,3.0,0.882
1046,8QNO,alpha,2.0,0.814
1047,8QNO,rosetta,2.0,1.073
1048,8QNO,alpha,3.0,0.676
1049,8QNO,rosetta,3.0,0.67
1050,8QNO,alpha,3.0,0.519
1051,8QNO,rosetta,3.0,1.337
1052,8QNO,alpha,2.0,0.826
1053,8QNO,rosetta,2.0,1.078
1054,8QNO,alpha,2.0,0.693
1055,8QNO,rosetta,2.0,1.066
1056,8QNO,alpha,7.0,0.67
1057,8QNO,rosetta,7.0,1.021
1058,8QNO,alpha,1.0,0.776
1059,8QNO,rosetta,1.0,1.255
1060,8QNO,alpha,3.0,0.717
1061,8QNO,rosetta,3.0,1.247
1062,8QNO,alpha,7.0,0.615
1063,8QNO,rosetta,7.0,1.059
1064,8QNO,alpha,1.0,0.717
1065,8QNO,rosetta,1.0,1.097
1066,8QNO,alpha,2.0,0.69
1067,8QNO,rosetta,2.0,1.114
1068,8QNO,alpha,4.0,0.869
1069,8QNO,rosetta,4.0,1.615
1070,8QNO,alpha,2.0,0.503
1071,8QNO,rosetta,2.0,0.659
1072,8QNO,alpha,6.0,0.472
1073,8QNO,rosetta,6.0,1.018
1074,8QNO,alpha,4.0,0.606
1075,8QNO,rosetta,4.0,1.072
1076,8QNO,alpha,3.0,0.599
1077,8QNO,rosetta,3.0,0.882
1078,8QNO,alpha,9.0,0.85
1079,8QNO,rosetta,9.0,1.509
1080,8QNO,alpha,7.0,1.736
1081,8QNO,rosetta,7.0,3.847
1082,8X1W,alpha,4.0,0.859
1083,8X1W,rosetta,4.0,1.234
1084,8X1W,alpha,4.0,1.176
1085,8X1W,rosetta,4.0,1.728
1086,8X1W,alpha,3.0,0.731
1087,8X1W,rosetta,3.0,1.179
1088,8X1W,alpha,2.0,0.626
1089,8X1W,rosetta,2.0,1.252
1090,8X1W,alpha,1.0,0.522
1091,8X1W,rosetta,1.0,1.23
1092,8X1W,alpha,1.0,0.55
1093,8X1W,rosetta,1.0,1.299
1094,8X1W,alpha,3.0,0.647
1095,8X1W,rosetta,3.0,0.921
1096,8X1W,alpha,3.0,0.741
1097,8X1W,rosetta,3.0,0.427
1098,8X1W,alpha,9.0,0.806
1099,8X1W,rosetta,9.0,0.81
1100,8X1W,alpha,1.0,1.073
1101,8X1W,rosetta,1.0,0.856
1102,8X1W,alpha,5.0,0.948
1103,8X1W,rosetta,5.0,1.487
1104,8X1W,alpha,4.0,0.418
1105,8X1W,rosetta,4.0,0.634
1106,8X1W,alpha,11.0,0.624
1107,8X1W,rosetta,11.0,1.023
1108,8X1W,alpha,9.0,0.543
1109,8X1W,rosetta,9.0,0.823
1110,8X1W,alpha,1.0,0.54
1111,8X1W,rosetta,1.0,0.828
1112,8X1W,alpha,4.0,0.453
1113,8X1W,rosetta,4.0,0.976
1114,8X1W,alpha,1.0,0.642
1115,8X1W,rosetta,1.0,0.52
1116,8X1W,alpha,5.0,0.513
1117,8X1W,rosetta,5.0,1.262
1118,8X1W,alpha,1.0,0.509
1119,8X1W,rosetta,1.0,0.846
1120,8X1W,alpha,2.0,0.488
1121,8X1W,rosetta,2.0,0.804
1122,8X1W,alpha,5.0,0.573
1123,8X1W,rosetta,5.0,1.35
1124,8X1W,alpha,3.0,0.81
1125,8X1W,rosetta,3.0,0.788
1126,8X1W,alpha,2.0,0.852
1127,8X1W,rosetta,2.0,1.123
1128,8X1W,alpha,4.0,0.726
1129,8X1W,rosetta,4.0,0.693
1130,8X1W,alpha,15.0,0.688
1131,8X1W,rosetta,15.0,1.207
1132,8X1W,alpha,3.0,0.509
1133,8X1W,rosetta,3.0,1.901
1134,8X1W,alpha,9.0,0.488
1135,8X1W,rosetta,9.0,1.046
1136,8X1W,alpha,4.0,0.833
1137,8X1W,rosetta,4.0,0.68
1138,8X1W,alpha,20.0,0.886
1139,8X1W,rosetta,20.0,1.248
1140,8X1W,alpha,2.0,1.038
1141,8X1W,rosetta,2.0,1.473
1142,8V5C,alpha,6.0,3.919
1143,8V5C,rosetta,6.0,2.584
1144,8V5C,alpha,3.0,1.113
1145,8V5C,rosetta,3.0,0.824
1146,8V5C,alpha,5.0,1.495
1147,8V5C,rosetta,5.0,1.277
1148,8V5C,alpha,1.0,1.032
1149,8V5C,rosetta,1.0,0.918
1150,8V5C,alpha,5.0,1.026
1151,8V5C,rosetta,5.0,1.311
1152,8V5C,alpha,5.0,1.493
1153,8V5C,rosetta,5.0,1.169
1154,8V5C,alpha,1.0,1.759
1155,8V5C,rosetta,1.0,1.248
1156,8V5C,alpha,4.0,1.407
1157,8V5C,rosetta,4.0,1.017
1158,8V5C,alpha,4.0,1.577
1159,8V5C,rosetta,4.0,1.056
1160,8V5C,alpha,2.0,0.689
1161,8V5C,rosetta,2.0,0.733
1162,8V5C,alpha,6.0,0.939
1163,8V5C,rosetta,6.0,1.299
1164,8V5C,alpha,3.0,2.139
1165,8V5C,rosetta,3.0,1.652
1166,8YFN,alpha,1.0,1.497
1167,8YFN,rosetta,1.0,1.859
1168,8YFN,alpha,8.0,0.711
1169,8YFN,rosetta,8.0,0.82
1170,8YFN,alpha,4.0,0.487
1171,8YFN,rosetta,4.0,0.61
1172,8YFN,alpha,7.0,0.496
1173,8YFN,rosetta,7.0,0.71
1174,8YFN,alpha,2.0,0.496
1175,8YFN,rosetta,2.0,0.545
1176,8YFN,alpha,8.0,1.323
1177,8YFN,rosetta,8.0,1.174
1178,8YFN,alpha,13.0,0.56
1179,8YFN,rosetta,13.0,0.713
1180,8YFN,alpha,2.0,1.107
1181,8YFN,rosetta,2.0,1.149
1182,8IDW,alpha,2.0,0.954
1183,8IDW,rosetta,2.0,1.058
1184,8IDW,alpha,3.0,0.722
1185,8IDW,rosetta,3.0,0.665
1186,8IDW,alpha,1.0,0.576
1187,8IDW,rosetta,1.0,0.631
1188,8IDW,alpha,3.0,0.555
1189,8IDW,rosetta,3.0,0.705
1190,8IDW,alpha,24.0,1.005
1191,8IDW,rosetta,24.0,0.959
1192,8IDW,alpha,5.0,0.542
1193,8IDW,rosetta,5.0,0.834
1194,8IDW,alpha,6.0,0.544
1195,8IDW,rosetta,6.0,0.632
1196,8IDW,alpha,2.0,0.492
1197,8IDW,rosetta,2.0,0.524
1198,8IDW,alpha,1.0,0.421
1199,8IDW,rosetta,1.0,0.505
1200,8IDW,alpha,2.0,0.62
1201,8IDW,rosetta,2.0,0.916
1202,8IDW,alpha,5.0,0.799
1203,8IDW,rosetta,5.0,0.85
1204,8IDW,alpha,2.0,0.473
1205,8IDW,rosetta,2.0,0.542
1206,8IDW,alpha,5.0,0.53
1207,8IDW,rosetta,5.0,0.576
1208,8IDW,alpha,8.0,1.007
1209,8IDW,rosetta,8.0,1.247
1210,8Q3D,alpha,5.0,1.033
1211,8Q3D,rosetta,5.0,1.933
1212,8Q3D,alpha,6.0,0.709
1213,8Q3D,rosetta,6.0,1.162
1214,8Q3D,alpha,8.0,0.502
1215,8Q3D,rosetta,8.0,1.15
1216,8Q3D,alpha,3.0,0.487
1217,8Q3D,rosetta,3.0,1.121
1218,8Q3D,alpha,3.0,0.316
1219,8Q3D,rosetta,3.0,1.705
1220,8Q3D,alpha,6.0,0.578
1221,8Q3D,rosetta,6.0,1.171
1222,8Q3D,alpha,2.0,0.573
1223,8Q3D,rosetta,2.0,1.369
1224,8Q3D,alpha,5.0,0.423
1225,8Q3D,rosetta,5.0,1.013
1226,8Q3D,alpha,2.0,0.482
1227,8Q3D,rosetta,2.0,1.197
1228,8Q3D,alpha,5.0,0.461
1229,8Q3D,rosetta,5.0,0.815
1230,8Q3D,alpha,3.0,0.516
1231,8Q3D,rosetta,3.0,0.895
1232,8Q3D,alpha,6.0,0.32
1233,8Q3D,rosetta,6.0,0.773
1234,8Q3D,alpha,5.0,0.422
1235,8Q3D,rosetta,5.0,1.258
1236,8Q3D,alpha,2.0,0.399
1237,8Q3D,rosetta,2.0,0.779
1238,8Q3D,alpha,1.0,0.312
1239,8Q3D,rosetta,1.0,1.203
1240,8Q3D,alpha,4.0,0.61
1241,8Q3D,rosetta,4.0,1.17
1242,8Q3D,alpha,6.0,0.368
1243,8Q3D,rosetta,6.0,0.876
1244,8Q3D,alpha,8.0,0.337
1245,8Q3D,rosetta,8.0,1.06
1246,8Q3D,alpha,2.0,0.326
1247,8Q3D,rosetta,2.0,0.488
1248,8Q3D,alpha,11.0,0.567
1249,8Q3D,rosetta,11.0,0.895
1250,8Q3D,alpha,10.0,0.354
1251,8Q3D,rosetta,10.0,1.037
1252,8Q3D,alpha,2.0,0.208
1253,8Q3D,rosetta,2.0,0.749
1254,8Q3D,alpha,4.0,0.379
1255,8Q3D,rosetta,4.0,0.893
1256,8Q3D,alpha,2.0,0.412
1257,8Q3D,rosetta,2.0,0.502
1258,8Q3D,alpha,2.0,0.322
1259,8Q3D,rosetta,2.0,0.389
1260,8Q3D,alpha,3.0,0.528
1261,8Q3D,rosetta,3.0,0.863
1262,8Q3D,alpha,5.0,0.461
1263,8Q3D,rosetta,5.0,0.907
1264,8Q3D,alpha,2.0,0.473
1265,8Q3D,rosetta,2.0,1.041
1266,8Q3D,alpha,7.0,0.483
1267,8Q3D,rosetta,7.0,0.805
1268,8Q3D,alpha,1.0,0.502
1269,8Q3D,rosetta,1.0,0.89
1270,8Q3D,alpha,3.0,0.39
1271,8Q3D,rosetta,3.0,0.774
1272,8Q3D,alpha,5.0,0.461
1273,8Q3D,rosetta,5.0,0.848
1274,8Q3D,alpha,4.0,0.392
1275,8Q3D,rosetta,4.0,0.723
1276,8Q3D,alpha,4.0,0.378
1277,8Q3D,rosetta,4.0,0.91
1278,8Q3D,alpha,7.0,0.392
1279,8Q3D,rosetta,7.0,0.56
1280,8Q3D,alpha,2.0,0.423
1281,8Q3D,rosetta,2.0,1.304
1282,8Q3D,alpha,5.0,0.396
1283,8Q3D,rosetta,5.0,1.135
1284,8Q3D,alpha,5.0,0.484
1285,8Q3D,rosetta,5.0,0.924
1286,9EM3,alpha,1.0,0.505
1287,9EM3,rosetta,1.0,0.892
1288,9EM3,alpha,2.0,0.348
1289,9EM3,rosetta,2.0,0.813
1290,9EM3,alpha,2.0,0.409
1291,9EM3,rosetta,2.0,0.928
1292,9EM3,alpha,3.0,0.351
1293,9EM3,rosetta,3.0,0.956
1294,9EM3,alpha,8.0,0.316
1295,9EM3,rosetta,8.0,0.913
1296,9EM3,alpha,3.0,0.321
1297,9EM3,rosetta,3.0,0.697
1298,9EM3,alpha,5.0,0.375
1299,9EM3,rosetta,5.0,0.609
1300,9EM3,alpha,12.0,0.431
1301,9EM3,rosetta,12.0,0.898
1302,9EM3,alpha,3.0,0.488
1303,9EM3,rosetta,3.0,0.503
1304,9EM3,alpha,4.0,0.31
1305,9EM3,rosetta,4.0,0.501
1306,9EM3,alpha,7.0,0.336
1307,9EM3,rosetta,7.0,0.773
1308,9EM3,alpha,1.0,0.315
1309,9EM3,rosetta,1.0,0.776
1310,9EM3,alpha,3.0,0.417
1311,9EM3,rosetta,3.0,0.699
1312,9EM3,alpha,4.0,0.591
1313,9EM3,rosetta,4.0,1.215
1314,9EM3,alpha,4.0,0.57
1315,9EM3,rosetta,4.0,1.283
1316,9EM3,alpha,3.0,0.295
1317,9EM3,rosetta,3.0,1.126
1318,9EM3,alpha,1.0,0.435
1319,9EM3,rosetta,1.0,0.889
1320,9EM3,alpha,3.0,0.36
1321,9EM3,rosetta,3.0,0.592
1322,9EM3,alpha,4.0,0.314
1323,9EM3,rosetta,4.0,1.013
1324,9EM3,alpha,14.0,0.402
1325,9EM3,rosetta,14.0,0.901
1326,9EM3,alpha,1.0,0.249
1327,9EM3,rosetta,1.0,0.726
1328,9EM3,alpha,1.0,0.267
1329,9EM3,rosetta,1.0,0.56
1330,9EM3,alpha,13.0,0.396
1331,9EM3,rosetta,13.0,0.74
1332,9EM3,alpha,5.0,0.352
1333,9EM3,rosetta,5.0,0.645
1334,9EM3,alpha,4.0,1.154
1335,9EM3,rosetta,4.0,1.297
1336,9EM3,alpha,4.0,0.353
1337,9EM3,rosetta,4.0,0.688
1338,9EM3,alpha,4.0,0.512
1339,9EM3,rosetta,4.0,0.644
1340,9EM3,alpha,5.0,0.497
1341,9EM3,rosetta,5.0,0.596
1342,9EM3,alpha,1.0,0.378
1343,9EM3,rosetta,1.0,0.737
1344,9EM3,alpha,3.0,0.379
1345,9EM3,rosetta,3.0,0.684
1346,9EM3,alpha,1.0,0.43
1347,9EM3,rosetta,1.0,0.548
1348,9EM3,alpha,2.0,0.458
1349,9EM3,rosetta,2.0,0.821
1350,9EM3,alpha,17.0,0.476
1351,9EM3,rosetta,17.0,1.007
1352,8QES,alpha,1.0,0.629
1353,8QES,rosetta,1.0,1.922
1354,8QES,alpha,2.0,0.429
1355,8QES,rosetta,2.0,0.994
1356,8QES,alpha,3.0,0.47
1357,8QES,rosetta,3.0,1.074
1358,8QES,alpha,4.0,0.7
1359,8QES,rosetta,4.0,1.216
1360,8QES,alpha,3.0,0.514
1361,8QES,rosetta,3.0,0.807
1362,8QES,alpha,3.0,0.365
1363,8QES,rosetta,3.0,0.869
1364,8QES,alpha,2.0,0.374
1365,8QES,rosetta,2.0,0.74
1366,8QES,alpha,4.0,0.499
1367,8QES,rosetta,4.0,0.682
1368,8QES,alpha,2.0,0.436
1369,8QES,rosetta,2.0,0.946
1370,8QES,alpha,4.0,0.405
1371,8QES,rosetta,4.0,0.833
1372,8QES,alpha,6.0,0.589
1373,8QES,rosetta,6.0,1.365
1374,8QES,alpha,3.0,0.306
1375,8QES,rosetta,3.0,0.401
1376,8QES,alpha,3.0,0.341
1377,8QES,rosetta,3.0,0.635
1378,8QES,alpha,2.0,0.474
1379,8QES,rosetta,2.0,0.887
1380,8QES,alpha,4.0,0.479
1381,8QES,rosetta,4.0,1.019
1382,8QES,alpha,1.0,0.401
1383,8QES,rosetta,1.0,1.04
1384,8QES,alpha,1.0,0.443
1385,8QES,rosetta,1.0,0.952
1386,8QES,alpha,1.0,0.578
1387,8QES,rosetta,1.0,0.926
1388,8QES,alpha,4.0,1.003
1389,8QES,rosetta,4.0,1.28
1390,8QES,alpha,1.0,0.315
1391,8QES,rosetta,1.0,1.674
1392,8QES,alpha,4.0,0.463
1393,8QES,rosetta,4.0,1.621
1394,8VPU,alpha,6.0,0.662
1395,8VPU,rosetta,6.0,1.628
1396,8VPU,alpha,4.0,0.438
1397,8VPU,rosetta,4.0,1.316
1398,8VPU,alpha,6.0,0.597
1399,8VPU,rosetta,6.0,1.617
1400,8VPU,alpha,3.0,0.374
1401,8VPU,rosetta,3.0,1.026
1402,8VPU,alpha,5.0,0.601
1403,8VPU,rosetta,5.0,0.813
